         MAPMT_0_1 |     root | 7.950000*cm -47.410000*cm -46.123000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_1 | MAPMT_0_1 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_0_1 | MAPMT_0_1 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_0_1 | MAPMT_0_1 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_0_1 | MAPMT_0_1 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_0_1 | MAPMT_0_1 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_0_1 | MAPMT_0_1 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_0_1 | MAPMT_0_1 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_0_2 |     root | 2.650000*cm -47.410000*cm -46.123000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_2 | MAPMT_0_2 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_0_2 | MAPMT_0_2 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_0_2 | MAPMT_0_2 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_0_2 | MAPMT_0_2 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_0_2 | MAPMT_0_2 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_0_2 | MAPMT_0_2 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_0_2 | MAPMT_0_2 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_0_3 |     root | -2.650000*cm -47.410000*cm -46.123000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_3 | MAPMT_0_3 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_0_3 | MAPMT_0_3 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_0_3 | MAPMT_0_3 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_0_3 | MAPMT_0_3 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_0_3 | MAPMT_0_3 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_0_3 | MAPMT_0_3 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_0_3 | MAPMT_0_3 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_0_4 |     root | -7.950000*cm -47.410000*cm -46.123000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_4 | MAPMT_0_4 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_0_4 | MAPMT_0_4 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_0_4 | MAPMT_0_4 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_0_4 | MAPMT_0_4 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_0_4 | MAPMT_0_4 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_0_4 | MAPMT_0_4 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_0_4 | MAPMT_0_4 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_0_5 |     root | -13.250000*cm -47.410000*cm -46.123000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_0_5 | MAPMT_0_5 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_0_5 | MAPMT_0_5 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_0_5 | MAPMT_0_5 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_0_5 | MAPMT_0_5 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_0_5 | MAPMT_0_5 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_0_5 | MAPMT_0_5 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_0_5 | MAPMT_0_5 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_1_0 |     root | 15.900000*cm -47.410000*cm -40.823000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_1_0 | MAPMT_1_0 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
 AlRight_MAPMT_1_0 | MAPMT_1_0 | -2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
   AlTop_MAPMT_1_0 | MAPMT_1_0 | 0.000000*cm 2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
AlBottom_MAPMT_1_0 | MAPMT_1_0 | 0.000000*cm -2.550000*cm 0.000000*cm | 0 0 0 |      Box | 2.6*cm 0.05*cm 1.35*cm  | 
  Window_MAPMT_1_0 | MAPMT_1_0 | 0.000000*cm 0.000000*cm -1.275000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.07500000000000001*cm  | 
Photocathode_MAPMT_1_0 | MAPMT_1_0 | 0.000000*cm 0.000000*cm -1.195000*cm | 0 0 0 |      Box | 2.45*cm 2.45*cm 0.005000000000000001*cm  | 
  Socket_MAPMT_1_0 | MAPMT_1_0 | 0.000000*cm 0.000000*cm 1.215000*cm | 0 0 0 |      Box | 2.5*cm 2.5*cm 0.135*cm  | 
         MAPMT_1_1 |     root | 10.600000*cm -47.410000*cm -40.823000*cm | ordered: yzx 0.0*deg 0.0*deg -90.0*deg |      Box | 2.6*cm 2.6*cm 1.35*cm  | 
  AlLeft_MAPMT_1_1 | MAPMT_1_1 | 2.550000*cm 0.000000*cm 0.000000*cm | 0 0 0 |      Box | 0.05*cm 2.5*cm 1.35*cm  | 
